27847,a,1,g,3,e,5,sixteen
957,c,1,e,7,d,7,draw
10007,d,3,g,7,a,4,ten
18564,c,2,b,2,f,7,thirteen
8517,b,1,f,4,g,1,ten
18681,c,2,c,3,f,7,thirteen
23151,c,1,e,2,b,5,fourteen
13580,b,2,a,5,g,4,twelve
19480,d,1,a,5,c,8,thirteen
16160,d,3,b,3,g,6,twelve
20829,d,2,h,7,d,4,thirteen
20088,d,2,a,8,g,4,thirteen
3461,c,3,d,2,f,1,five
7065,c,2,c,8,a,6,nine
5310,c,1,b,6,h,1,eight
19842,d,1,g,2,b,7,thirteen
4327,d,3,d,6,b,2,six
5205,b,1,b,4,a,6,eight
22910,c,1,b,4,h,5,fourteen
188,a,1,h,5,h,6,draw
14012,c,1,e,4,e,2,twelve
16035,d,3,a,3,f,4,twelve
13749,b,2,f,8,g,5,twelve
20932,d,3,g,6,f,4,thirteen
9260,c,3,g,4,e,3,ten
7873,d,3,h,4,a,6,nine
15220,d,1,c,7,h,3,twelve
10681,b,2,b,4,e,3,eleven
11566,c,3,f,5,g,3,eleven
7040,c,2,c,5,a,3,nine
6851,b,2,g,3,f,1,nine
9335,d,1,c,6,b,8,ten
5355,c,1,e,4,h,1,eight
684,b,2,g,3,f,4,draw
2291,d,2,h,3,g,2,draw
16476,d,3,g,1,e,7,twelve
7522,d,2,f,4,h,8,nine
10825,c,1,b,4,e,2,eleven
17719,b,2,e,1,g,7,thirteen
17035,b,1,a,8,f,8,thirteen
14442,c,2,e,1,h,4,twelve
9438,d,2,b,7,d,8,ten
25433,d,2,f,7,c,7,fourteen
7133,c,2,e,6,g,1,nine
27133,c,1,f,4,d,4,fifteen
20221,d,2,b,7,g,7,thirteen
26674,b,1,h,8,c,3,fifteen
21689,b,1,d,3,d,8,fourteen
5724,d,1,b,7,a,5,eight
1879,d,1,f,7,e,7,draw
21406,b,1,a,6,g,3,fourteen
18548,c,2,b,1,g,6,thirteen
22417,b,2,d,8,e,2,fourteen
15271,d,1,d,5,h,6,twelve
26141,b,1,c,1,c,5,fifteen
15420,d,1,g,2,a,8,twelve
4051,d,1,d,4,g,1,six
1120,c,1,h,7,h,8,draw
27191,c,1,f,8,e,6,fifteen
13927,c,1,d,5,a,3,twelve
21474,b,1,b,2,e,2,fourteen
13376,b,1,d,7,c,3,twelve
24348,d,1,b,1,g,5,fourteen
4957,d,3,f,2,a,3,seven
26742,b,2,f,2,e,5,fifteen
9119,c,3,b,3,g,2,ten
26257,b,1,d,1,e,6,fifteen
25126,d,1,h,3,f,6,fourteen
2580,d,3,g,6,f,7,draw
1843,d,1,f,2,f,3,draw
513,b,1,g,5,g,6,draw
16108,d,3,b,1,d,7,twelve
5888,d,2,d,7,f,2,eight
17100,b,1,c,5,h,6,thirteen
23158,c,1,e,2,d,6,fourteen
2474,d,3,e,6,e,5,draw
17537,b,1,h,8,a,7,thirteen
7369,d,1,a,4,b,2,nine
25817,a,1,e,6,d,1,fifteen
4322,d,3,d,5,a,2,six
11276,c,2,f,2,h,6,eleven
5575,c,2,h,7,b,8,eight
5160,d,4,g,8,h,6,seven
4183,d,2,d,1,a,1,six
17718,b,2,e,1,g,6,thirteen
6319,d,4,c,4,e,2,eight
461,b,1,f,6,e,7,draw
27954,b,1,c,2,d,4,sixteen
19629,d,1,d,5,b,3,thirteen
5739,d,1,c,7,h,2,eight
3178,c,3,h,3,c,1,three
5155,d,4,g,7,a,1,seven
6782,b,2,b,3,e,1,nine
10833,c,1,c,4,a,4,eleven
18173,c,1,e,6,h,3,thirteen
6718,b,1,e,4,h,3,nine
14877,c,3,b,6,g,5,twelve
17857,c,1,a,3,h,6,thirteen
21786,b,1,e,5,b,7,fourteen
22529,b,2,g,5,g,7,fourteen
14476,c,2,e,2,h,7,twelve
13826,c,1,a,5,a,8,twelve
23472,c,1,g,8,g,3,fourteen
40,a,1,e,1,d,1,draw
10787,b,2,f,8,g,4,eleven
24220,d,1,a,4,e,5,fourteen
15706,d,2,d,7,c,5,twelve
1715,d,1,c,3,d,4,draw
20535,d,2,f,5,c,6,thirteen
20874,d,3,b,7,c,5,thirteen
9250,c,3,f,7,h,3,ten
24596,d,1,c,8,g,6,fourteen
14242,c,2,a,5,h,6,twelve
15735,d,2,e,2,b,7,twelve
5208,b,1,b,5,a,8,eight
20327,d,2,c,4,f,8,thirteen
17741,b,2,e,3,h,6,thirteen
7783,d,3,e,6,a,8,nine
7027,c,2,b,7,g,8,nine
25484,d,2,g,7,e,5,fourteen
14944,c,3,d,2,g,4,twelve
