0,5.1,3.5,1.4,0.2,Iris-setosa
77,6.7,3.0,5.0,1.7,Iris-versicolor
13,4.3,3.0,1.1,0.1,Iris-setosa
148,6.2,3.4,5.4,2.3,Iris-virginica
25,5.0,3.0,1.6,0.2,Iris-setosa
73,6.1,2.8,4.7,1.2,Iris-versicolor
107,7.3,2.9,6.3,1.8,Iris-virginica
15,5.7,4.4,1.5,0.4,Iris-setosa
122,7.7,2.8,6.7,2.0,Iris-virginica
92,5.8,2.6,4.0,1.2,Iris-versicolor
40,5.0,3.5,1.3,0.3,Iris-setosa
88,5.6,3.0,4.1,1.3,Iris-versicolor
115,6.4,3.2,5.3,2.3,Iris-virginica
69,5.6,2.5,3.9,1.1,Iris-versicolor
62,6.0,2.2,4.0,1.0,Iris-versicolor
